source.message,dataset,timestamp,$workers.truncated,$workers.event.cron,$workers.event.scheduledTime,$workers.scriptName,$workers.outcome,$workers.eventType,$workers.scriptVersion.id,$workers.executionModel,$workers.requestId,$metadata.id,$metadata.requestId,$metadata.trigger,$metadata.service,$metadata.message,$metadata.account,$metadata.type,$metadata.fingerprint,$metadata.origin,$metadata.messageTemplate,$metadata.startTime,$metadata.endTime,$metadata.now,links
[INFO] [Producer] Cycle #1013 dispatch complete.,cloudflare-workers,2026-03-13T13:16:01.528Z,false,"0,15,30,45 * * * *",1773407723000,job-hunter-bot,ok,cron,0a260a99-5cdf-43d6-8795-d08e9092af50,stateless,WF7IYXLSBXRURYMF,01KKKNDX3R5N179DZ4TBKF1DYZ,WF7IYXLSBXRURYMF,"0,15,30,45 * * * *",job-hunter-bot,[INFO] [Producer] Cycle #1013 dispatch complete.,346e138aae29f6b381c1ebae50734856,cf-worker,9652c0eabd8fbe010167fd7787852081,cron,[INFO] [Producer] <*> <*> <*> <*>.,undefined,undefined,undefined,[]
[INFO] [Fetcher] Harvest complete. Inserted 0 new jobs (0 dupes filtered).,cloudflare-workers,2026-03-13T13:16:01.210Z,false,"0,15,30,45 * * * *",1773407723000,job-hunter-bot,ok,cron,0a260a99-5cdf-43d6-8795-d08e9092af50,stateless,WF7IYXLSBXRURYMF,01KKKNDWSTT2QJQGG8ZJZCKSA6,WF7IYXLSBXRURYMF,"0,15,30,45 * * * *",job-hunter-bot,[INFO] [Fetcher] Harvest complete. Inserted 0 new jobs (0 dupes filtered).,346e138aae29f6b381c1ebae50734856,cf-worker,9652c0eabd8fbe010167fd7787852081,cron,[INFO] [Fetcher] Harvest complete. Inserted <*> new jobs (<*> dupes filtered).,undefined,undefined,undefined,[]
[INFO] [Fetcher] Batch recorded 5 source yields,cloudflare-workers,2026-03-13T13:16:01.210Z,false,"0,15,30,45 * * * *",1773407723000,job-hunter-bot,ok,cron,0a260a99-5cdf-43d6-8795-d08e9092af50,stateless,WF7IYXLSBXRURYMF,01KKKNDWSTT2QJQGG8ZJZCKSA5,WF7IYXLSBXRURYMF,"0,15,30,45 * * * *",job-hunter-bot,[INFO] [Fetcher] Batch recorded 5 source yields,346e138aae29f6b381c1ebae50734856,cf-worker,9652c0eabd8fbe010167fd7787852081,cron,[INFO] [Fetcher] Batch recorded <*> source yields,undefined,undefined,undefined,[]
[INFO] [Producer] Direct processing: 25/40 sources completed.,cloudflare-workers,2026-03-13T13:16:00.862Z,false,"0,15,30,45 * * * *",1773407723000,job-hunter-bot,ok,cron,0a260a99-5cdf-43d6-8795-d08e9092af50,stateless,WF7IYXLSBXRURYMF,01KKKNDWEY8B43DGDN4CKKR0RH,WF7IYXLSBXRURYMF,"0,15,30,45 * * * *",job-hunter-bot,[INFO] [Producer] Direct processing: 25/40 sources completed.,346e138aae29f6b381c1ebae50734856,cf-worker,9652c0eabd8fbe010167fd7787852081,cron,[INFO] [Producer] Direct <*>: <*>/40 sources <*>.,undefined,undefined,undefined,[]
"[WARN] [Producer] Wall-time guard: processed 25/40 sources in 32.7s, deferring rest to next cycle.",cloudflare-workers,2026-03-13T13:16:00.862Z,false,"0,15,30,45 * * * *",1773407723000,job-hunter-bot,ok,cron,0a260a99-5cdf-43d6-8795-d08e9092af50,stateless,WF7IYXLSBXRURYMF,01KKKNDWEY8B43DGDN4CKKR0RG,WF7IYXLSBXRURYMF,"0,15,30,45 * * * *",job-hunter-bot,"[WARN] [Producer] Wall-time guard: processed 25/40 sources in 32.7s, deferring rest to next cycle.",346e138aae29f6b381c1ebae50734856,cf-worker,9652c0eabd8fbe010167fd7787852081,cron,"[WARN] [Producer] Wall-time guard: processed 25/40 sources in 32.7s, deferring rest to next cycle.",undefined,undefined,undefined,[]
[INFO] [Metrics] source=greenhouse:Vercel | fetched=0 cursorSkipped=0 error=none durationMs=0,cloudflare-workers,2026-03-13T13:16:00.862Z,false,"0,15,30,45 * * * *",1773407723000,job-hunter-bot,ok,cron,0a260a99-5cdf-43d6-8795-d08e9092af50,stateless,WF7IYXLSBXRURYMF,01KKKNDWEY8B43DGDN4CKKR0RF,WF7IYXLSBXRURYMF,"0,15,30,45 * * * *",job-hunter-bot,[INFO] [Metrics] source=greenhouse:Vercel | fetched=0 cursorSkipped=0 error=none durationMs=0,346e138aae29f6b381c1ebae50734856,cf-worker,9652c0eabd8fbe010167fd7787852081,cron,[INFO] [Metrics] <*> | <*> cursorSkipped=0 error=none durationMs=0,undefined,undefined,undefined,[]
[INFO] [Metrics] source=greenhouse:Netlify | fetched=0 cursorSkipped=0 error=none durationMs=0,cloudflare-workers,2026-03-13T13:16:00.862Z,false,"0,15,30,45 * * * *",1773407723000,job-hunter-bot,ok,cron,0a260a99-5cdf-43d6-8795-d08e9092af50,stateless,WF7IYXLSBXRURYMF,01KKKNDWEY8B43DGDN4CKKR0RE,WF7IYXLSBXRURYMF,"0,15,30,45 * * * *",job-hunter-bot,[INFO] [Metrics] source=greenhouse:Netlify | fetched=0 cursorSkipped=0 error=none durationMs=0,346e138aae29f6b381c1ebae50734856,cf-worker,9652c0eabd8fbe010167fd7787852081,cron,[INFO] [Metrics] <*> | <*> cursorSkipped=0 error=none durationMs=0,undefined,undefined,undefined,[]
[INFO] [Metrics] source=greenhouse:Cloudflare | fetched=0 cursorSkipped=0 error=none durationMs=0,cloudflare-workers,2026-03-13T13:16:00.862Z,false,"0,15,30,45 * * * *",1773407723000,job-hunter-bot,ok,cron,0a260a99-5cdf-43d6-8795-d08e9092af50,stateless,WF7IYXLSBXRURYMF,01KKKNDWEY8B43DGDN4CKKR0RD,WF7IYXLSBXRURYMF,"0,15,30,45 * * * *",job-hunter-bot,[INFO] [Metrics] source=greenhouse:Cloudflare | fetched=0 cursorSkipped=0 error=none durationMs=0,346e138aae29f6b381c1ebae50734856,cf-worker,9652c0eabd8fbe010167fd7787852081,cron,[INFO] [Metrics] <*> | <*> cursorSkipped=0 error=none durationMs=0,undefined,undefined,undefined,[]
[INFO] [Metrics] source=greenhouse:Figma | fetched=0 cursorSkipped=0 error=none durationMs=0,cloudflare-workers,2026-03-13T13:16:00.862Z,false,"0,15,30,45 * * * *",1773407723000,job-hunter-bot,ok,cron,0a260a99-5cdf-43d6-8795-d08e9092af50,stateless,WF7IYXLSBXRURYMF,01KKKNDWEY8B43DGDN4CKKR0RC,WF7IYXLSBXRURYMF,"0,15,30,45 * * * *",job-hunter-bot,[INFO] [Metrics] source=greenhouse:Figma | fetched=0 cursorSkipped=0 error=none durationMs=0,346e138aae29f6b381c1ebae50734856,cf-worker,9652c0eabd8fbe010167fd7787852081,cron,[INFO] [Metrics] <*> | <*> cursorSkipped=0 error=none durationMs=0,undefined,undefined,undefined,[]
[INFO] [Metrics] source=greenhouse:Discord | fetched=0 cursorSkipped=0 error=none durationMs=0,cloudflare-workers,2026-03-13T13:16:00.862Z,false,"0,15,30,45 * * * *",1773407723000,job-hunter-bot,ok,cron,0a260a99-5cdf-43d6-8795-d08e9092af50,stateless,WF7IYXLSBXRURYMF,01KKKNDWEY8B43DGDN4CKKR0RB,WF7IYXLSBXRURYMF,"0,15,30,45 * * * *",job-hunter-bot,[INFO] [Metrics] source=greenhouse:Discord | fetched=0 cursorSkipped=0 error=none durationMs=0,346e138aae29f6b381c1ebae50734856,cf-worker,9652c0eabd8fbe010167fd7787852081,cron,[INFO] [Metrics] <*> | <*> cursorSkipped=0 error=none durationMs=0,undefined,undefined,undefined,[]
