source.level,source.message,dataset,timestamp,$workers.truncated,$workers.event.queue,$workers.event.batchSize,$workers.scriptName,$workers.outcome,$workers.eventType,$workers.scriptVersion.id,$workers.executionModel,$workers.requestId,$metadata.id,$metadata.requestId,$metadata.trigger,$metadata.service,$metadata.level,$metadata.error,$metadata.message,$metadata.account,$metadata.type,$metadata.fingerprint,$metadata.origin,$metadata.messageTemplate,$metadata.startTime,$metadata.endTime,$metadata.now,links
error,[ERROR] [Fetcher] JOB_QUEUE sendBatch failed after retries: Queue sendBatch failed: Payload Too Large. Falling back to direct evaluation.,cloudflare-workers,2026-03-08T02:32:04.110Z,false,feed-queue,5,job-hunter-bot,ok,queue,ee988a84-2ece-4543-9924-c49d4aa068e0,stateless,TWCOSYUM81UX1XZ3,01KK5MK79HMKQ4WBEJJGVE5Q0B,TWCOSYUM81UX1XZ3,feed-queue,job-hunter-bot,error,[ERROR] [Fetcher] JOB_QUEUE sendBatch failed after retries: Queue sendBatch failed: Payload Too Large. Falling back to direct evaluation.,[ERROR] [Fetcher] JOB_QUEUE sendBatch failed after retries: Queue sendBatch failed: Payload Too Large. Falling back to direct evaluation.,346e138aae29f6b381c1ebae50734856,cf-worker,a639399f0835ef4be63cc30fe19a842c,queue,[ERROR] [Fetcher] JOB_QUEUE sendBatch failed after retries: Queue sendBatch failed: Payload Too Large. Falling back to direct evaluation.,undefined,undefined,undefined,[]
error,"0,15,30,45 * * * * ",cloudflare-workers,2026-03-08T01:15:15.344Z,false,,,job-hunter-bot,exceededCpu,cron,ee988a84-2ece-4543-9924-c49d4aa068e0,stateless,MPVWYCB3POT5MXZR,01KK5G78DMMDR7JQ4GQX4YEHVQ,MPVWYCB3POT5MXZR,"0,15,30,45 * * * *",job-hunter-bot,error,"0,15,30,45 * * * * ","0,15,30,45 * * * * ",346e138aae29f6b381c1ebae50734856,cf-worker-event,5b91c98a766e7ec460fe2aab6366fe44,cron,"0,15,30,45 * * * *",undefined,undefined,undefined,[]
error,[ERROR] [Fetcher] JOB_QUEUE sendBatch failed after retries: Queue sendBatch failed: Payload Too Large. Falling back to direct evaluation.,cloudflare-workers,2026-03-08T00:16:26.848Z,false,feed-queue,5,job-hunter-bot,ok,queue,ee988a84-2ece-4543-9924-c49d4aa068e0,stateless,1I8ZDSJ5LUDOZNDB,01KK5CTX4JQQAVF287F5H8DR5B,1I8ZDSJ5LUDOZNDB,feed-queue,job-hunter-bot,error,[ERROR] [Fetcher] JOB_QUEUE sendBatch failed after retries: Queue sendBatch failed: Payload Too Large. Falling back to direct evaluation.,[ERROR] [Fetcher] JOB_QUEUE sendBatch failed after retries: Queue sendBatch failed: Payload Too Large. Falling back to direct evaluation.,346e138aae29f6b381c1ebae50734856,cf-worker,a639399f0835ef4be63cc30fe19a842c,queue,[ERROR] [Fetcher] JOB_QUEUE sendBatch failed after retries: Queue sendBatch failed: Payload Too Large. Falling back to direct evaluation.,undefined,undefined,undefined,[]
error,"0,15,30,45 * * * * ",cloudflare-workers,2026-03-08T00:15:15.345Z,false,,,job-hunter-bot,exceededCpu,cron,ee988a84-2ece-4543-9924-c49d4aa068e0,stateless,ARWV5HCFEA16NTXK,01KK5CSCY6D3BJ06EHWCZSE7BD,ARWV5HCFEA16NTXK,"0,15,30,45 * * * *",job-hunter-bot,error,"0,15,30,45 * * * * ","0,15,30,45 * * * * ",346e138aae29f6b381c1ebae50734856,cf-worker-event,5b91c98a766e7ec460fe2aab6366fe44,cron,"0,15,30,45 * * * *",undefined,undefined,undefined,[]
error,[ERROR] [Producer] Queue send failed after retries: Queue sendBatch failed: Too Many Requests. Falling back to DIRECT processing.,cloudflare-workers,2026-03-07T23:45:20.185Z,false,,,job-hunter-bot,exceededCpu,cron,ee988a84-2ece-4543-9924-c49d4aa068e0,stateless,N1ZFJOA81XFSYVZ4,01KK5B1XC5TK18ENQV8266ZXPJ,N1ZFJOA81XFSYVZ4,"0,15,30,45 * * * *",job-hunter-bot,error,[ERROR] [Producer] Queue send failed after retries: Queue sendBatch failed: Too Many Requests. Falling back to DIRECT processing.,[ERROR] [Producer] Queue send failed after retries: Queue sendBatch failed: Too Many Requests. Falling back to DIRECT processing.,346e138aae29f6b381c1ebae50734856,cf-worker,a182c642af561a79ea097003474c6a2a,cron,[ERROR] [Producer] Queue send failed after retries: Queue sendBatch failed: Too Many Requests. Falling back to DIRECT processing.,undefined,undefined,undefined,[]
error,"0,15,30,45 * * * * ",cloudflare-workers,2026-03-07T23:45:15.350Z,false,,,job-hunter-bot,exceededCpu,cron,ee988a84-2ece-4543-9924-c49d4aa068e0,stateless,N1ZFJOA81XFSYVZ4,01KK5B1XC5TK18ENQV8266ZXPB,N1ZFJOA81XFSYVZ4,"0,15,30,45 * * * *",job-hunter-bot,error,"0,15,30,45 * * * * ","0,15,30,45 * * * * ",346e138aae29f6b381c1ebae50734856,cf-worker-event,5b91c98a766e7ec460fe2aab6366fe44,cron,"0,15,30,45 * * * *",undefined,undefined,undefined,[]
,Worker exceeded CPU time limit.,cloudflare-workers,2026-03-07T23:30:23.058Z,false,,,job-hunter-bot,exceededCpu,cron,ee988a84-2ece-4543-9924-c49d4aa068e0,stateless,PBOA3CGXKTPY6D4G,01KK5A6GPJYF1PJFB1SEA9AMXP,PBOA3CGXKTPY6D4G,"0,15,30,45 * * * *",job-hunter-bot,error,Worker exceeded CPU time limit.,Worker exceeded CPU time limit.,346e138aae29f6b381c1ebae50734856,cf-worker,e761890a7089661800e99b7a1c180051,cron,Worker exceeded CPU time limit.,undefined,undefined,undefined,[]
error,[ERROR] [Producer] Queue send failed after retries: Queue sendBatch failed: Too Many Requests. Falling back to DIRECT processing.,cloudflare-workers,2026-03-07T23:30:20.584Z,false,,,job-hunter-bot,exceededCpu,cron,ee988a84-2ece-4543-9924-c49d4aa068e0,stateless,PBOA3CGXKTPY6D4G,01KK5A6GMPCTYX9PT9EE89XFCP,PBOA3CGXKTPY6D4G,"0,15,30,45 * * * *",job-hunter-bot,error,[ERROR] [Producer] Queue send failed after retries: Queue sendBatch failed: Too Many Requests. Falling back to DIRECT processing.,[ERROR] [Producer] Queue send failed after retries: Queue sendBatch failed: Too Many Requests. Falling back to DIRECT processing.,346e138aae29f6b381c1ebae50734856,cf-worker,a182c642af561a79ea097003474c6a2a,cron,[ERROR] [Producer] Queue send failed after retries: Queue sendBatch failed: Too Many Requests. Falling back to DIRECT processing.,undefined,undefined,undefined,[]
error,"0,15,30,45 * * * * ",cloudflare-workers,2026-03-07T23:30:15.645Z,false,,,job-hunter-bot,exceededCpu,cron,ee988a84-2ece-4543-9924-c49d4aa068e0,stateless,PBOA3CGXKTPY6D4G,01KK5A6GMPCTYX9PT9EE89XFCF,PBOA3CGXKTPY6D4G,"0,15,30,45 * * * *",job-hunter-bot,error,"0,15,30,45 * * * * ","0,15,30,45 * * * * ",346e138aae29f6b381c1ebae50734856,cf-worker-event,5b91c98a766e7ec460fe2aab6366fe44,cron,"0,15,30,45 * * * *",undefined,undefined,undefined,[]
error,[ERROR] [Producer] Queue send failed after retries: Queue sendBatch failed: Too Many Requests. Falling back to DIRECT processing.,cloudflare-workers,2026-03-07T23:15:20.220Z,false,,,job-hunter-bot,exceededCpu,cron,ee988a84-2ece-4543-9924-c49d4aa068e0,stateless,MNTSFO2OK6ZUBSSC,01KK59AZ0WX1HMJN5TWYY7DJEV,MNTSFO2OK6ZUBSSC,"0,15,30,45 * * * *",job-hunter-bot,error,[ERROR] [Producer] Queue send failed after retries: Queue sendBatch failed: Too Many Requests. Falling back to DIRECT processing.,[ERROR] [Producer] Queue send failed after retries: Queue sendBatch failed: Too Many Requests. Falling back to DIRECT processing.,346e138aae29f6b381c1ebae50734856,cf-worker,a182c642af561a79ea097003474c6a2a,cron,[ERROR] [Producer] Queue send failed after retries: Queue sendBatch failed: Too Many Requests. Falling back to DIRECT processing.,undefined,undefined,undefined,[]
