source.level,source.message,dataset,timestamp,$workers.truncated,$workers.event.queue,$workers.event.batchSize,$workers.scriptName,$workers.outcome,$workers.eventType,$workers.scriptVersion.id,$workers.executionModel,$workers.requestId,$metadata.id,$metadata.requestId,$metadata.trigger,$metadata.service,$metadata.level,$metadata.error,$metadata.message,$metadata.account,$metadata.type,$metadata.fingerprint,$metadata.origin,$metadata.errorTemplate,$metadata.startTime,$metadata.endTime,$metadata.now,links
error,"[ERROR] [Discovery] Vector ""api_discovery"" failed: Vector execution timed out after 110s",cloudflare-workers,2026-03-18T02:23:58.994Z,false,discovery-queue,1,job-hunter-bot,ok,queue,bf4a61a0-ee48-4507-88d6-944deccb04d3,stateless,H798FRSLZPXB1FAU,01KKZC3JMCHNB8MGRF5AMYGKFB,H798FRSLZPXB1FAU,discovery-queue,job-hunter-bot,error,"[ERROR] [Discovery] Vector ""api_discovery"" failed: Vector execution timed out after 110s","[ERROR] [Discovery] Vector ""api_discovery"" failed: Vector execution timed out after 110s",346e138aae29f6b381c1ebae50734856,cf-worker,b32fb5a67058888d7039a7465d34455b,queue,"[ERROR] [Discovery] Vector ""<*>"" failed: Vector execution timed out after 110s",undefined,undefined,undefined,[]
error,"[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s",cloudflare-workers,2026-03-18T02:22:31.422Z,false,discovery-queue,1,job-hunter-bot,ok,queue,bf4a61a0-ee48-4507-88d6-944deccb04d3,stateless,CZCUIOD0I8ND86F7,01KKZC0X3QKNM1G0VZSQ2QQ04E,CZCUIOD0I8ND86F7,discovery-queue,job-hunter-bot,error,"[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s","[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s",346e138aae29f6b381c1ebae50734856,cf-worker,d4ca89458359150b23ce2d62901152c1,queue,,undefined,undefined,undefined,[]
error,"[ERROR] [Discovery] Vector ""api_discovery"" failed: Vector execution timed out after 110s",cloudflare-workers,2026-03-18T02:22:08.585Z,false,discovery-queue,1,job-hunter-bot,ok,queue,bf4a61a0-ee48-4507-88d6-944deccb04d3,stateless,NG8F4OET2VVH2JQ6,01KKZC06P9915133TD82JX0Y2A,NG8F4OET2VVH2JQ6,discovery-queue,job-hunter-bot,error,"[ERROR] [Discovery] Vector ""api_discovery"" failed: Vector execution timed out after 110s","[ERROR] [Discovery] Vector ""api_discovery"" failed: Vector execution timed out after 110s",346e138aae29f6b381c1ebae50734856,cf-worker,acf233ee408f5b57bb6242e78f364b8c,queue,,undefined,undefined,undefined,[]
error,"[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s",cloudflare-workers,2026-03-18T02:20:41.021Z,false,discovery-queue,1,job-hunter-bot,ok,queue,bf4a61a0-ee48-4507-88d6-944deccb04d3,stateless,MQCSYEFIOQ2BY82G,01KKZBXH86ZDGKE4HG1X11T7BA,MQCSYEFIOQ2BY82G,discovery-queue,job-hunter-bot,error,"[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s","[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s",346e138aae29f6b381c1ebae50734856,cf-worker,d4ca89458359150b23ce2d62901152c1,queue,,undefined,undefined,undefined,[]
error,"[ERROR] [Discovery] Vector ""api_discovery"" failed: Vector execution timed out after 110s",cloudflare-workers,2026-03-18T02:19:52.716Z,false,discovery-queue,2,job-hunter-bot,ok,queue,bf4a61a0-ee48-4507-88d6-944deccb04d3,stateless,P97LNMIC6Q7Y4KQF,01KKZBWTZFF46BYS2FET9C662B,P97LNMIC6Q7Y4KQF,discovery-queue,job-hunter-bot,error,"[ERROR] [Discovery] Vector ""api_discovery"" failed: Vector execution timed out after 110s","[ERROR] [Discovery] Vector ""api_discovery"" failed: Vector execution timed out after 110s",346e138aae29f6b381c1ebae50734856,cf-worker,acf233ee408f5b57bb6242e78f364b8c,queue,,undefined,undefined,undefined,[]
error,"[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s",cloudflare-workers,2026-03-18T02:18:50.565Z,false,discovery-queue,2,job-hunter-bot,ok,queue,bf4a61a0-ee48-4507-88d6-944deccb04d3,stateless,X6VHXBARPDZQ0OJV,01KKZBT5C94T54SBSZ0H9A0S1W,X6VHXBARPDZQ0OJV,discovery-queue,job-hunter-bot,error,"[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s","[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s",346e138aae29f6b381c1ebae50734856,cf-worker,d4ca89458359150b23ce2d62901152c1,queue,,undefined,undefined,undefined,[]
error,"[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s",cloudflare-workers,2026-03-18T02:03:47.392Z,false,discovery-queue,1,job-hunter-bot,ok,queue,bf4a61a0-ee48-4507-88d6-944deccb04d3,stateless,67KWVXDD02NXVF9F,01KKZAYKYVQ7NMPNS0S1VE7NFF,67KWVXDD02NXVF9F,discovery-queue,job-hunter-bot,error,"[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s","[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s",346e138aae29f6b381c1ebae50734856,cf-worker,d4ca89458359150b23ce2d62901152c1,queue,,undefined,undefined,undefined,[]
error,"[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s",cloudflare-workers,2026-03-18T02:01:56.998Z,false,discovery-queue,1,job-hunter-bot,ok,queue,bf4a61a0-ee48-4507-88d6-944deccb04d3,stateless,JNAC6QN9O2QTY1GX,01KKZAV7G634RY6WKEKVQDASQ3,JNAC6QN9O2QTY1GX,discovery-queue,job-hunter-bot,error,"[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s","[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s",346e138aae29f6b381c1ebae50734856,cf-worker,d4ca89458359150b23ce2d62901152c1,queue,,undefined,undefined,undefined,[]
error,"[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s",cloudflare-workers,2026-03-18T02:00:06.591Z,false,discovery-queue,1,job-hunter-bot,ok,queue,bf4a61a0-ee48-4507-88d6-944deccb04d3,stateless,SSJ54HSW3RDIQ6MD,01KKZAQVS6GWT4E7RV4B1QZN8D,SSJ54HSW3RDIQ6MD,discovery-queue,job-hunter-bot,error,"[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s","[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s",346e138aae29f6b381c1ebae50734856,cf-worker,d4ca89458359150b23ce2d62901152c1,queue,,undefined,undefined,undefined,[]
error,"[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s",cloudflare-workers,2026-03-18T01:58:15.432Z,false,discovery-queue,2,job-hunter-bot,ok,queue,bf4a61a0-ee48-4507-88d6-944deccb04d3,stateless,WO4FPQMNJN50JIF3,01KKZAMFQE2J90DP151JM3K0FB,WO4FPQMNJN50JIF3,discovery-queue,job-hunter-bot,error,"[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s","[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s",346e138aae29f6b381c1ebae50734856,cf-worker,d4ca89458359150b23ce2d62901152c1,queue,,undefined,undefined,undefined,[]
error,"[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s",cloudflare-workers,2026-03-18T01:43:59.325Z,false,discovery-queue,1,job-hunter-bot,ok,queue,bf4a61a0-ee48-4507-88d6-944deccb04d3,stateless,AV4EK1CQI2MKGZX0,01KKZ9TBMFD28M929TS4PKDCHQ,AV4EK1CQI2MKGZX0,discovery-queue,job-hunter-bot,error,"[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s","[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s",346e138aae29f6b381c1ebae50734856,cf-worker,d4ca89458359150b23ce2d62901152c1,queue,,undefined,undefined,undefined,[]
error,"[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s",cloudflare-workers,2026-03-18T01:42:08.984Z,false,discovery-queue,1,job-hunter-bot,ok,queue,bf4a61a0-ee48-4507-88d6-944deccb04d3,stateless,VFXSFSR3RVSB9JXT,01KKZ9PZE8GX2PY5EZB1HY9KMF,VFXSFSR3RVSB9JXT,discovery-queue,job-hunter-bot,error,"[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s","[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s",346e138aae29f6b381c1ebae50734856,cf-worker,d4ca89458359150b23ce2d62901152c1,queue,,undefined,undefined,undefined,[]
error,"[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s",cloudflare-workers,2026-03-18T01:40:00.096Z,false,discovery-queue,2,job-hunter-bot,ok,queue,bf4a61a0-ee48-4507-88d6-944deccb04d3,stateless,XI10LJ9P8RBJ8KAB,01KKZ9KKK2NJMYN93SYVDM734M,XI10LJ9P8RBJ8KAB,discovery-queue,job-hunter-bot,error,"[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s","[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s",346e138aae29f6b381c1ebae50734856,cf-worker,d4ca89458359150b23ce2d62901152c1,queue,,undefined,undefined,undefined,[]
error,"[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s",cloudflare-workers,2026-03-18T01:38:08.887Z,false,discovery-queue,2,job-hunter-bot,ok,queue,bf4a61a0-ee48-4507-88d6-944deccb04d3,stateless,RS02LQSVO9CXOOV6,01KKZ9FNNR6ZCKP08N9R3HZ92B,RS02LQSVO9CXOOV6,discovery-queue,job-hunter-bot,error,"[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s","[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s",346e138aae29f6b381c1ebae50734856,cf-worker,d4ca89458359150b23ce2d62901152c1,queue,,undefined,undefined,undefined,[]
error,"[ERROR] [Discovery] Vector ""api_discovery"" failed: Vector execution timed out after 110s",cloudflare-workers,2026-03-18T01:24:02.596Z,false,discovery-queue,1,job-hunter-bot,ok,queue,bf4a61a0-ee48-4507-88d6-944deccb04d3,stateless,3JY5Q2FL3HOZFM36,01KKZ8NTD4SH281ZS2SRZN3546,3JY5Q2FL3HOZFM36,discovery-queue,job-hunter-bot,error,"[ERROR] [Discovery] Vector ""api_discovery"" failed: Vector execution timed out after 110s","[ERROR] [Discovery] Vector ""api_discovery"" failed: Vector execution timed out after 110s",346e138aae29f6b381c1ebae50734856,cf-worker,acf233ee408f5b57bb6242e78f364b8c,queue,,undefined,undefined,undefined,[]
error,"[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s",cloudflare-workers,2026-03-18T01:23:51.465Z,false,discovery-queue,1,job-hunter-bot,ok,queue,bf4a61a0-ee48-4507-88d6-944deccb04d3,stateless,LODXMLW7J1AO0KYI,01KKZ8NFH9YEQ3ZC3JPB8Q5SGK,LODXMLW7J1AO0KYI,discovery-queue,job-hunter-bot,error,"[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s","[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s",346e138aae29f6b381c1ebae50734856,cf-worker,d4ca89458359150b23ce2d62901152c1,queue,,undefined,undefined,undefined,[]
error,"[ERROR] [Discovery] Vector ""api_discovery"" failed: Vector execution timed out after 110s",cloudflare-workers,2026-03-18T01:22:12.205Z,false,discovery-queue,1,job-hunter-bot,ok,queue,bf4a61a0-ee48-4507-88d6-944deccb04d3,stateless,Y16MHSVO5HGYKOH7,01KKZ8JEKDPP8WCAF7X5X66GA6,Y16MHSVO5HGYKOH7,discovery-queue,job-hunter-bot,error,"[ERROR] [Discovery] Vector ""api_discovery"" failed: Vector execution timed out after 110s","[ERROR] [Discovery] Vector ""api_discovery"" failed: Vector execution timed out after 110s",346e138aae29f6b381c1ebae50734856,cf-worker,acf233ee408f5b57bb6242e78f364b8c,queue,,undefined,undefined,undefined,[]
error,"[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s",cloudflare-workers,2026-03-18T01:22:01.193Z,false,discovery-queue,1,job-hunter-bot,ok,queue,bf4a61a0-ee48-4507-88d6-944deccb04d3,stateless,NLCVNXLI9AGK31KQ,01KKZ8J3V9DNYK83WXW1VP6D3G,NLCVNXLI9AGK31KQ,discovery-queue,job-hunter-bot,error,"[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s","[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s",346e138aae29f6b381c1ebae50734856,cf-worker,d4ca89458359150b23ce2d62901152c1,queue,,undefined,undefined,undefined,[]
error,"[ERROR] [Discovery] Vector ""api_discovery"" failed: Vector execution timed out after 110s",cloudflare-workers,2026-03-18T01:20:21.937Z,false,discovery-queue,1,job-hunter-bot,ok,queue,bf4a61a0-ee48-4507-88d6-944deccb04d3,stateless,Q472MSHTYOLX26ZZ,01KKZ8F30TVR6X1Q726VN8YZDR,Q472MSHTYOLX26ZZ,discovery-queue,job-hunter-bot,error,"[ERROR] [Discovery] Vector ""api_discovery"" failed: Vector execution timed out after 110s","[ERROR] [Discovery] Vector ""api_discovery"" failed: Vector execution timed out after 110s",346e138aae29f6b381c1ebae50734856,cf-worker,acf233ee408f5b57bb6242e78f364b8c,queue,,undefined,undefined,undefined,[]
