source.level,source.message,dataset,timestamp,$workers.truncated,$workers.event.cron,$workers.event.scheduledTime,$workers.scriptName,$workers.outcome,$workers.eventType,$workers.scriptVersion.id,$workers.executionModel,$workers.requestId,$metadata.id,$metadata.requestId,$metadata.trigger,$metadata.service,$metadata.level,$metadata.error,$metadata.message,$metadata.account,$metadata.type,$metadata.fingerprint,$metadata.origin,$metadata.messageTemplate,$metadata.startTime,$metadata.endTime,$metadata.now,links
error,[ERROR] [Producer] FEED_QUEUE failed completely. Dropping 12 sources to avoid exceededCpu. Will retry next cycle.,cloudflare-workers,2026-03-17T18:25:51.060Z,false,"10,25,40,55 * * * *",1773771947000,job-hunter-bot,ok,cron,bf4a61a0-ee48-4507-88d6-944deccb04d3,stateless,ROF2DZR36RFY6GBA,01KKYGR2YMS8KCCDHRQRW4FT2P,ROF2DZR36RFY6GBA,"10,25,40,55 * * * *",job-hunter-bot,error,[ERROR] [Producer] FEED_QUEUE failed completely. Dropping 12 sources to avoid exceededCpu. Will retry next cycle.,[ERROR] [Producer] FEED_QUEUE failed completely. Dropping 12 sources to avoid exceededCpu. Will retry next cycle.,346e138aae29f6b381c1ebae50734856,cf-worker,db2f4d94b13c097f107e6ce964f9dbd0,cron,[ERROR] [Producer] FEED_QUEUE failed completely. Dropping 12 sources to avoid exceededCpu. Will retry next cycle.,undefined,undefined,undefined,[]
error,[ERROR] [Producer] Queue send failed after retries: Queue sendBatch failed: Too Many Requests. Falling back to DIRECT processing.,cloudflare-workers,2026-03-17T18:25:51.060Z,false,"10,25,40,55 * * * *",1773771947000,job-hunter-bot,ok,cron,bf4a61a0-ee48-4507-88d6-944deccb04d3,stateless,ROF2DZR36RFY6GBA,01KKYGR2YMS8KCCDHRQRW4FT2N,ROF2DZR36RFY6GBA,"10,25,40,55 * * * *",job-hunter-bot,error,[ERROR] [Producer] Queue send failed after retries: Queue sendBatch failed: Too Many Requests. Falling back to DIRECT processing.,[ERROR] [Producer] Queue send failed after retries: Queue sendBatch failed: Too Many Requests. Falling back to DIRECT processing.,346e138aae29f6b381c1ebae50734856,cf-worker,a182c642af561a79ea097003474c6a2a,cron,[ERROR] [Producer] Queue send failed after retries: Queue sendBatch failed: Too Many Requests. Falling back to DIRECT processing.,undefined,undefined,undefined,[]
error,[ERROR] [Producer] FEED_QUEUE failed completely. Dropping 14 sources to avoid exceededCpu. Will retry next cycle.,cloudflare-workers,2026-03-17T18:20:50.929Z,false,"5,20,35,50 * * * *",1773771647000,job-hunter-bot,ok,cron,bf4a61a0-ee48-4507-88d6-944deccb04d3,stateless,SKW5MYBCFCAAQVW1,01KKYGEYF76ZSAVQJEKT34VABX,SKW5MYBCFCAAQVW1,"5,20,35,50 * * * *",job-hunter-bot,error,[ERROR] [Producer] FEED_QUEUE failed completely. Dropping 14 sources to avoid exceededCpu. Will retry next cycle.,[ERROR] [Producer] FEED_QUEUE failed completely. Dropping 14 sources to avoid exceededCpu. Will retry next cycle.,346e138aae29f6b381c1ebae50734856,cf-worker,5d5f238a77d31219761bdec5211a9fd6,cron,[ERROR] [Producer] FEED_QUEUE failed completely. Dropping 14 sources to avoid exceededCpu. Will retry next cycle.,undefined,undefined,undefined,[]
error,[ERROR] [Producer] Queue send failed after retries: Queue sendBatch failed: Too Many Requests. Falling back to DIRECT processing.,cloudflare-workers,2026-03-17T18:20:50.929Z,false,"5,20,35,50 * * * *",1773771647000,job-hunter-bot,ok,cron,bf4a61a0-ee48-4507-88d6-944deccb04d3,stateless,SKW5MYBCFCAAQVW1,01KKYGEYF76ZSAVQJEKT34VABW,SKW5MYBCFCAAQVW1,"5,20,35,50 * * * *",job-hunter-bot,error,[ERROR] [Producer] Queue send failed after retries: Queue sendBatch failed: Too Many Requests. Falling back to DIRECT processing.,[ERROR] [Producer] Queue send failed after retries: Queue sendBatch failed: Too Many Requests. Falling back to DIRECT processing.,346e138aae29f6b381c1ebae50734856,cf-worker,a182c642af561a79ea097003474c6a2a,cron,[ERROR] [Producer] Queue send failed after retries: Queue sendBatch failed: Too Many Requests. Falling back to DIRECT processing.,undefined,undefined,undefined,[]
error,[ERROR] [Producer] FEED_QUEUE failed completely. Dropping 14 sources to avoid exceededCpu. Will retry next cycle.,cloudflare-workers,2026-03-17T18:15:50.694Z,false,"0,15,30,45 * * * *",1773771347000,job-hunter-bot,ok,cron,bf4a61a0-ee48-4507-88d6-944deccb04d3,stateless,0G0VDZD70THRMMN8,01KKYG5RN6W7Z0XDA44JVSRKHH,0G0VDZD70THRMMN8,"0,15,30,45 * * * *",job-hunter-bot,error,[ERROR] [Producer] FEED_QUEUE failed completely. Dropping 14 sources to avoid exceededCpu. Will retry next cycle.,[ERROR] [Producer] FEED_QUEUE failed completely. Dropping 14 sources to avoid exceededCpu. Will retry next cycle.,346e138aae29f6b381c1ebae50734856,cf-worker,5d5f238a77d31219761bdec5211a9fd6,cron,[ERROR] [Producer] FEED_QUEUE failed completely. Dropping 14 sources to avoid exceededCpu. Will retry next cycle.,undefined,undefined,undefined,[]
error,[ERROR] [Producer] Queue send failed after retries: Queue sendBatch failed: Too Many Requests. Falling back to DIRECT processing.,cloudflare-workers,2026-03-17T18:15:50.694Z,false,"0,15,30,45 * * * *",1773771347000,job-hunter-bot,ok,cron,bf4a61a0-ee48-4507-88d6-944deccb04d3,stateless,0G0VDZD70THRMMN8,01KKYG5RN6W7Z0XDA44JVSRKHG,0G0VDZD70THRMMN8,"0,15,30,45 * * * *",job-hunter-bot,error,[ERROR] [Producer] Queue send failed after retries: Queue sendBatch failed: Too Many Requests. Falling back to DIRECT processing.,[ERROR] [Producer] Queue send failed after retries: Queue sendBatch failed: Too Many Requests. Falling back to DIRECT processing.,346e138aae29f6b381c1ebae50734856,cf-worker,a182c642af561a79ea097003474c6a2a,cron,[ERROR] [Producer] Queue send failed after retries: Queue sendBatch failed: Too Many Requests. Falling back to DIRECT processing.,undefined,undefined,undefined,[]
error,[ERROR] [Producer] FEED_QUEUE failed completely. Dropping 12 sources to avoid exceededCpu. Will retry next cycle.,cloudflare-workers,2026-03-17T18:10:51.430Z,false,"10,25,40,55 * * * *",1773771047000,job-hunter-bot,ok,cron,bf4a61a0-ee48-4507-88d6-944deccb04d3,stateless,GV03XJ8JPSHVB4D3,01KKYFWMW3G0B3RC28MR4M2WZ0,GV03XJ8JPSHVB4D3,"10,25,40,55 * * * *",job-hunter-bot,error,[ERROR] [Producer] FEED_QUEUE failed completely. Dropping 12 sources to avoid exceededCpu. Will retry next cycle.,[ERROR] [Producer] FEED_QUEUE failed completely. Dropping 12 sources to avoid exceededCpu. Will retry next cycle.,346e138aae29f6b381c1ebae50734856,cf-worker,db2f4d94b13c097f107e6ce964f9dbd0,cron,[ERROR] [Producer] FEED_QUEUE failed completely. Dropping 12 sources to avoid exceededCpu. Will retry next cycle.,undefined,undefined,undefined,[]
error,[ERROR] [Producer] Queue send failed after retries: Queue sendBatch failed: Too Many Requests. Falling back to DIRECT processing.,cloudflare-workers,2026-03-17T18:10:51.430Z,false,"10,25,40,55 * * * *",1773771047000,job-hunter-bot,ok,cron,bf4a61a0-ee48-4507-88d6-944deccb04d3,stateless,GV03XJ8JPSHVB4D3,01KKYFWMW3G0B3RC28MR4M2WYZ,GV03XJ8JPSHVB4D3,"10,25,40,55 * * * *",job-hunter-bot,error,[ERROR] [Producer] Queue send failed after retries: Queue sendBatch failed: Too Many Requests. Falling back to DIRECT processing.,[ERROR] [Producer] Queue send failed after retries: Queue sendBatch failed: Too Many Requests. Falling back to DIRECT processing.,346e138aae29f6b381c1ebae50734856,cf-worker,a182c642af561a79ea097003474c6a2a,cron,[ERROR] [Producer] Queue send failed after retries: Queue sendBatch failed: Too Many Requests. Falling back to DIRECT processing.,undefined,undefined,undefined,[]
error,[ERROR] [Producer] FEED_QUEUE failed completely. Dropping 14 sources to avoid exceededCpu. Will retry next cycle.,cloudflare-workers,2026-03-17T18:05:51.227Z,false,"5,20,35,50 * * * *",1773770747000,job-hunter-bot,ok,cron,bf4a61a0-ee48-4507-88d6-944deccb04d3,stateless,SSZR4EOOA5TTNWHR,01KKYFKF7V5XM975FKJCMDZR1K,SSZR4EOOA5TTNWHR,"5,20,35,50 * * * *",job-hunter-bot,error,[ERROR] [Producer] FEED_QUEUE failed completely. Dropping 14 sources to avoid exceededCpu. Will retry next cycle.,[ERROR] [Producer] FEED_QUEUE failed completely. Dropping 14 sources to avoid exceededCpu. Will retry next cycle.,346e138aae29f6b381c1ebae50734856,cf-worker,5d5f238a77d31219761bdec5211a9fd6,cron,[ERROR] [Producer] FEED_QUEUE failed completely. Dropping 14 sources to avoid exceededCpu. Will retry next cycle.,undefined,undefined,undefined,[]
error,[ERROR] [Producer] Queue send failed after retries: Queue sendBatch failed: Too Many Requests. Falling back to DIRECT processing.,cloudflare-workers,2026-03-17T18:05:51.227Z,false,"5,20,35,50 * * * *",1773770747000,job-hunter-bot,ok,cron,bf4a61a0-ee48-4507-88d6-944deccb04d3,stateless,SSZR4EOOA5TTNWHR,01KKYFKF7V5XM975FKJCMDZR1J,SSZR4EOOA5TTNWHR,"5,20,35,50 * * * *",job-hunter-bot,error,[ERROR] [Producer] Queue send failed after retries: Queue sendBatch failed: Too Many Requests. Falling back to DIRECT processing.,[ERROR] [Producer] Queue send failed after retries: Queue sendBatch failed: Too Many Requests. Falling back to DIRECT processing.,346e138aae29f6b381c1ebae50734856,cf-worker,a182c642af561a79ea097003474c6a2a,cron,[ERROR] [Producer] Queue send failed after retries: Queue sendBatch failed: Too Many Requests. Falling back to DIRECT processing.,undefined,undefined,undefined,[]
